Date,Close,Anomaly,Forecast_Anomaly,Combined_Anomaly
2018-05-29,24361.45,0,0,0
2018-05-30,24667.78,0,0,0
2018-05-31,24415.84,0,0,0
2018-06-01,24635.21,0,0,0
2018-06-04,24813.69,0,0,0
2018-06-05,24799.98,0,0,0
2018-06-06,25146.39,0,0,0
2018-06-07,25241.41,0,0,0
2018-06-08,25316.53,0,0,0
2018-06-11,25322.31,0,0,0
2018-06-12,25320.73,0,0,0
2018-06-13,25201.2,0,0,0
2018-06-14,25175.31,0,0,0
2018-06-15,25090.48,0,0,0
2018-06-18,24987.47,0,0,0
2018-06-19,24700.21,0,0,0
2018-06-20,24657.8,0,0,0
2018-06-21,24461.7,0,0,0
2018-06-22,24580.89,0,0,0
2018-06-25,24252.8,0,0,0
2018-06-26,24283.11,0,0,0
2018-06-27,24117.59,0,0,0
2018-06-28,24216.05,0,0,0
2018-06-29,24271.41,0,0,0
2018-07-02,24307.18,0,0,0
2018-07-03,24174.82,0,0,0
2018-07-05,24356.74,0,0,0
2018-07-06,24456.48,0,0,0
2018-07-09,24776.59,0,0,0
2018-07-10,24919.66,0,0,0
2018-07-11,24700.45,0,0,0
2018-07-12,24924.89,0,0,0
2018-07-13,25019.41,0,0,0
2018-07-16,25064.36,0,0,0
2018-07-17,25119.89,0,0,0
2018-07-18,25199.29,0,0,0
2018-07-19,25064.5,0,0,0
2018-07-20,25058.12,0,0,0
2018-07-23,25044.29,0,0,0
2018-07-24,25241.94,0,0,0
2018-07-25,25414.1,0,0,0
2018-07-26,25527.07,0,0,0
2018-07-27,25451.06,0,0,0
2018-07-30,25306.83,0,0,0
2018-07-31,25415.19,0,0,0
2018-08-01,25333.82,0,0,0
2018-08-02,25326.16,0,0,0
2018-08-03,25462.58,0,0,0
2018-08-06,25502.18,0,0,0
2018-08-07,25628.91,0,0,0
2018-08-08,25583.75,0,0,0
2018-08-09,25509.23,0,0,0
2018-08-10,25313.14,0,0,0
2018-08-13,25187.7,0,0,0
2018-08-14,25299.92,0,0,0
2018-08-15,25162.41,0,0,0
2018-08-16,25558.73,0,0,0
2018-08-17,25669.32,0,0,0
2018-08-20,25758.69,0,0,0
2018-08-21,25822.29,0,0,0
2018-08-22,25733.6,0,0,0
2018-08-23,25656.98,0,0,0
2018-08-24,25790.35,0,0,0
2018-08-27,26049.64,0,0,0
2018-08-28,26064.02,0,0,0
2018-08-29,26124.57,0,0,0
2018-08-30,25986.92,0,0,0
2018-08-31,25964.82,0,0,0
2018-09-04,25952.48,0,0,0
2018-09-05,25974.99,0,0,0
2018-09-06,25995.87,0,0,0
2018-09-07,25916.54,0,0,0
2018-09-10,25857.07,0,0,0
2018-09-11,25971.06,0,0,0
2018-09-12,25998.92,0,0,0
2018-09-13,26145.99,0,0,0
2018-09-14,26154.67,0,0,0
2018-09-17,26062.12,0,0,0
2018-09-18,26246.96,0,1,1
2018-09-19,26405.76,0,1,1
2018-09-20,26656.98,0,1,1
2018-09-21,26743.5,0,1,1
2018-09-24,26562.05,0,1,1
2018-09-25,26492.21,0,1,1
2018-09-26,26385.28,0,1,1
2018-09-27,26439.93,0,1,1
2018-09-28,26458.31,0,1,1
2018-10-01,26651.21,0,1,1
2018-10-02,26773.94,0,1,1
2018-10-03,26828.39,0,1,1
2018-10-04,26627.48,0,1,1
2018-10-05,26447.05,0,1,1
2018-10-08,26486.78,0,1,1
2018-10-09,26430.57,0,1,1
2018-10-10,25598.74,0,0,0
2018-10-11,25052.83,0,0,0
2018-10-12,25339.99,0,0,0
2018-10-15,25250.55,0,0,0
2018-10-16,25798.42,0,1,1
2018-10-17,25706.68,0,0,0
2018-10-18,25379.45,0,0,0
2018-10-19,25444.34,0,0,0
2018-10-22,25317.41,0,0,0
2018-10-23,25191.43,0,0,0
2018-10-24,24583.42,0,0,0
2018-10-25,24984.55,0,0,0
2018-10-26,24688.31,0,0,0
2018-10-29,24442.92,0,0,0
2018-10-30,24874.64,0,0,0
2018-10-31,25115.76,0,0,0
2018-11-01,25380.74,0,0,0
2018-11-02,25270.83,0,0,0
2018-11-05,25461.7,0,0,0
2018-11-06,25635.01,0,0,0
2018-11-07,26180.3,0,0,0
2018-11-08,26191.22,0,1,1
2018-11-09,25989.3,0,0,0
2018-11-12,25387.18,0,0,0
2018-11-13,25286.49,0,0,0
2018-11-14,25080.5,0,0,0
2018-11-15,25289.27,0,0,0
2018-11-16,25413.22,0,0,0
2018-11-19,25017.44,0,0,0
2018-11-20,24465.64,0,0,0
2018-11-21,24464.69,0,0,0
2018-11-23,24285.95,0,0,0
2018-11-26,24640.24,0,0,0
2018-11-27,24748.73,0,0,0
2018-11-28,25366.43,0,0,0
2018-11-29,25338.84,0,0,0
2018-11-30,25538.46,0,0,0
2018-12-03,25826.43,0,0,0
2018-12-04,25027.07,0,0,0
2018-12-06,24947.67,0,0,0
2018-12-07,24388.95,0,0,0
2018-12-10,24423.26,0,0,0
2018-12-11,24370.24,0,0,0
2018-12-12,24527.27,0,0,0
2018-12-13,24597.38,0,0,0
2018-12-14,24100.51,0,0,0
2018-12-17,23592.98,0,0,0
2018-12-18,23675.64,0,0,0
2018-12-19,23323.66,0,1,1
2018-12-20,22859.6,0,1,1
2018-12-21,22445.37,0,1,1
2018-12-24,21792.2,0,1,1
2018-12-26,22878.45,0,1,1
2018-12-27,23138.82,0,1,1
2018-12-28,23062.4,0,1,1
2018-12-31,23327.46,0,1,1
2019-01-02,23346.24,0,1,1
2019-01-03,22686.22,0,1,1
2019-01-04,23433.16,0,1,1
2019-01-07,23531.35,0,1,1
2019-01-08,23787.45,0,1,1
2019-01-09,23879.12,0,1,1
2019-01-10,24001.92,0,1,1
2019-01-11,23995.95,0,1,1
2019-01-14,23909.84,0,1,1
2019-01-15,24065.59,0,1,1
2019-01-16,24207.16,0,1,1
2019-01-17,24370.1,0,0,0
2019-01-18,24706.35,0,0,0
2019-01-22,24404.48,0,0,0
2019-01-23,24575.62,0,0,0
2019-01-24,24553.24,0,0,0
2019-01-25,24737.2,0,0,0
2019-01-28,24528.22,0,0,0
2019-01-29,24579.96,0,0,0
2019-01-30,25014.86,0,0,0
2019-01-31,24999.67,0,0,0
2019-02-01,25063.89,0,0,0
2019-02-04,25239.37,0,0,0
2019-02-05,25411.52,0,0,0
2019-02-06,25390.3,0,0,0
2019-02-07,25169.53,0,0,0
2019-02-08,25106.33,0,0,0
2019-02-11,25053.11,0,0,0
2019-02-12,25425.76,0,0,0
2019-02-13,25543.27,0,0,0
2019-02-14,25439.39,0,0,0
2019-02-15,25883.25,0,0,0
2019-02-19,25891.32,0,0,0
2019-02-20,25954.44,0,0,0
2019-02-21,25850.63,0,0,0
2019-02-22,26031.81,0,0,0
2019-02-25,26091.95,0,0,0
2019-02-26,26057.98,0,0,0
2019-02-27,25985.16,0,0,0
2019-02-28,25916.0,0,0,0
2019-03-01,26026.32,0,0,0
2019-03-04,25819.65,0,0,0
2019-03-05,25806.63,0,0,0
2019-03-06,25673.46,0,0,0
2019-03-07,25473.23,0,0,0
2019-03-08,25450.24,0,0,0
2019-03-11,25650.88,0,0,0
2019-03-12,25554.66,0,0,0
2019-03-13,25702.89,0,0,0
2019-03-14,25709.94,0,0,0
2019-03-15,25848.87,0,0,0
2019-03-18,25914.1,0,0,0
2019-03-19,25887.38,0,0,0
2019-03-20,25745.67,0,0,0
2019-03-21,25962.51,0,0,0
2019-03-22,25502.32,0,0,0
2019-03-25,25516.83,0,0,0
2019-03-26,25657.73,0,0,0
2019-03-27,25625.59,0,0,0
2019-03-28,25717.46,0,0,0
2019-03-29,25928.68,0,0,0
2019-04-01,26258.42,0,0,0
2019-04-02,26179.13,0,0,0
2019-04-03,26218.13,0,0,0
2019-04-04,26384.63,0,0,0
2019-04-05,26424.99,0,0,0
2019-04-08,26341.02,0,0,0
2019-04-09,26150.58,0,0,0
2019-04-10,26157.16,0,0,0
2019-04-11,26143.05,0,0,0
2019-04-12,26412.3,0,0,0
2019-04-15,26384.77,0,0,0
2019-04-16,26452.66,0,0,0
2019-04-17,26449.54,0,0,0
2019-04-18,26559.54,0,0,0
2019-04-22,26511.05,0,0,0
2019-04-23,26656.39,0,0,0
2019-04-24,26597.05,0,0,0
2019-04-25,26462.08,0,0,0
2019-04-26,26543.33,0,0,0
2019-04-29,26554.39,0,0,0
2019-04-30,26592.91,0,0,0
2019-05-01,26430.14,0,0,0
2019-05-02,26307.79,0,0,0
2019-05-03,26504.95,0,0,0
2019-05-06,26438.48,0,0,0
2019-05-07,25965.09,0,0,0
2019-05-08,25967.33,0,0,0
2019-05-09,25828.36,0,0,0
2019-05-10,25942.37,0,0,0
2019-05-13,25324.99,0,0,0
2019-05-14,25532.05,0,0,0
2019-05-15,25648.02,0,0,0
2019-05-16,25862.68,0,0,0
2019-05-17,25764.0,0,0,0
2019-05-20,25679.9,0,0,0
2019-05-21,25877.33,0,0,0
2019-05-22,25776.61,0,0,0
2019-05-23,25490.47,0,0,0
2019-05-24,25585.69,0,0,0
2019-05-28,25347.77,0,0,0
2019-05-29,25126.41,0,0,0
2019-05-30,25169.88,0,0,0
2019-05-31,24815.04,0,1,1
2019-06-03,24819.78,0,1,1
2019-06-04,25332.18,0,0,0
2019-06-05,25539.57,0,0,0
2019-06-06,25720.66,0,0,0
2019-06-07,25983.94,0,0,0
2019-06-10,26062.68,0,0,0
2019-06-11,26048.51,0,0,0
2019-06-12,26004.83,0,0,0
2019-06-13,26106.77,0,0,0
2019-06-14,26089.61,0,0,0
2019-06-17,26112.53,0,0,0
2019-06-18,26465.54,0,0,0
2019-06-19,26504.0,0,0,0
2019-06-20,26753.17,0,0,0
2019-06-21,26719.13,0,0,0
2019-06-24,26727.54,0,0,0
2019-06-25,26548.22,0,0,0
2019-06-26,26536.82,0,0,0
2019-06-27,26526.58,0,0,0
2019-06-28,26599.96,0,0,0
2019-07-01,26717.43,0,0,0
2019-07-02,26786.68,0,0,0
2019-07-03,26966.0,0,1,1
2019-07-05,26922.12,0,0,0
2019-07-08,26806.14,0,0,0
2019-07-09,26783.49,0,0,0
2019-07-10,26860.2,0,0,0
2019-07-11,27088.08,0,0,0
2019-07-12,27332.03,0,0,0
2019-07-15,27359.16,0,0,0
2019-07-16,27335.63,0,0,0
2019-07-17,27219.85,0,0,0
2019-07-18,27222.97,0,0,0
2019-07-19,27154.2,0,0,0
2019-07-22,27171.9,0,0,0
2019-07-23,27349.19,0,0,0
2019-07-24,27269.97,0,0,0
2019-07-25,27140.98,0,0,0
2019-07-26,27192.45,0,0,0
2019-07-29,27221.35,0,0,0
2019-07-30,27198.02,0,0,0
2019-07-31,26864.27,0,0,0
2019-08-01,26583.42,0,0,0
2019-08-02,26485.01,0,0,0
2019-08-05,25717.74,0,0,0
2019-08-06,26029.52,0,0,0
2019-08-07,26007.07,0,0,0
2019-08-08,26378.19,0,0,0
2019-08-09,26287.44,0,0,0
2019-08-12,25896.44,0,0,0
2019-08-13,26279.91,0,0,0
2019-08-14,25479.42,0,1,1
2019-08-15,25579.39,0,1,1
2019-08-16,25886.01,0,0,0
2019-08-19,26135.79,0,0,0
2019-08-20,25962.44,0,0,0
2019-08-21,26202.73,0,0,0
2019-08-22,26252.24,0,0,0
2019-08-23,25628.9,0,1,1
2019-08-26,25898.83,0,1,1
2019-08-27,25777.9,0,1,1
2019-08-28,26036.1,0,0,0
2019-08-29,26362.25,0,0,0
