ds,y,yhat,yhat_lower,yhat_upper,Forecast_Anomaly
2018-05-01,24099.05,24966.820429201507,23913.262589691043,26144.706648980737,0
2018-05-02,23924.98,24901.711654384537,23849.741081896544,26035.172267730504,0
2018-05-03,23930.15,24837.923651565612,23725.453836721917,25935.68957997336,0
2018-05-04,24262.51,24797.816825922127,23701.537019986255,25932.20562541429,0
2018-05-07,24357.32,24646.575248225436,23556.07995352531,25692.663532505398,0
2018-05-08,24360.21,24622.42820366034,23593.062581940543,25706.33241426604,0
2018-05-09,24542.54,24575.547904936124,23392.994573317297,25588.636874368924,0
2018-05-10,24739.53,24535.025046122082,23493.222689078448,25646.76066404284,0
2018-05-11,24831.17,24522.87325159952,23427.465644875694,25586.114987754387,0
2018-05-14,24899.41,24478.877847219832,23302.554301047447,25635.642723705194,0
2018-05-15,24706.41,24496.302499533514,23402.965969768662,25691.914426358937,0
2018-05-16,24768.93,24492.759570439466,23439.17112469424,25639.028679605457,0
2018-05-17,24713.98,24496.58008061611,23474.336348075336,25616.511791344168,0
2018-05-18,24715.09,24528.98873513205,23500.829501893215,25606.19712770185,0
2018-05-21,25013.29,24611.97028152261,23482.151577367324,25703.053692693324,0
2018-05-22,24834.41,24666.889871514733,23584.100743958108,25747.609124078608,0
2018-05-23,24886.81,24697.221660125386,23593.80314215964,25822.639359733083,0
2018-05-24,24811.76,24730.662432317018,23620.93205764881,25809.799199534173,0
2018-05-25,24753.09,24787.882001330083,23664.937740218924,25887.97315885275,0
2018-05-29,24361.45,24969.26708022215,23890.815276821984,26105.237805738583,0
2018-05-30,24667.78,24995.592255982527,23930.5343576193,26081.006778694617,0
2018-05-31,24415.84,25019.12036580591,23841.372235813997,26120.24714486911,0
2018-06-01,24635.21,25060.75708633957,23927.244674784906,26211.623664406336,0
2018-06-04,24813.69,25108.514009076862,23918.158672703605,26110.919926330236,0
2018-06-05,24799.98,25131.770757928403,24131.94647127623,26265.640983829406,0
2018-06-06,25146.39,25121.513967425857,23984.49596905654,26255.052136761064,0
2018-06-07,25241.41,25106.34386764459,23988.918480069147,26212.670272819032,0
2018-06-08,25316.53,25107.998061619473,24008.17477598142,26231.84299350405,0
2018-06-11,25322.31,25036.67960827236,23959.54371446109,26105.040158811975,0
2018-06-12,25320.73,25023.350090400465,23909.51665859084,26124.909518582925,0
2018-06-13,25201.2,24979.380494213616,23840.93981930603,26135.68516015331,0
2018-06-14,25175.31,24934.074990472036,23887.79136946819,26066.44399446855,0
2018-06-15,25090.48,24909.794282815797,23830.380351854215,26034.55015078082,0
2018-06-18,24987.47,24790.63083006358,23779.957045655698,25886.187963803113,0
2018-06-19,24700.21,24772.36841440174,23664.59174171467,25904.70219749106,0
2018-06-20,24657.8,24729.189347825602,23643.96278238312,25813.75916947714,0
2018-06-21,24461.7,24690.34358473269,23592.237928677416,25820.222508886145,0
2018-06-22,24580.89,24678.017558665793,23519.14728035624,25733.811161591308,0
2018-06-25,24252.8,24624.276045440758,23458.97836255431,25753.317687325536,0
2018-06-26,24283.11,24636.047112525972,23450.137642283353,25760.993618305376,0
2018-06-27,24117.59,24626.00041327396,23588.530145511155,25801.641754732387,0
2018-06-28,24216.05,24622.687863983858,23513.273452522837,25722.318666719602,0
2018-06-29,24271.41,24647.561246967252,23521.002479651772,25715.09254111141,0
2018-07-02,24307.18,24707.886798775613,23640.519121858993,25806.00476912797,0
2018-07-03,24174.82,24756.05493677806,23680.514793994804,25935.670926677016,0
2018-07-05,24356.74,24809.049083471222,23720.68631356504,25910.296085751015,0
2018-07-06,24456.48,24862.76065505273,23803.882938242084,25947.311704200365,0
2018-07-09,24776.59,24987.30740425694,23891.495289762806,26087.40057129541,0
2018-07-10,24919.66,25048.637953531215,23982.46982312275,26221.432118371522,0
2018-07-11,24700.45,25081.926691815603,23996.12705554046,26158.433236252145,0
2018-07-12,24924.89,25115.188042061134,24011.133586821405,26215.27292242984,0
2018-07-13,25019.41,25169.506558730383,24066.893631246,26214.29995858358,0
2018-07-16,25064.36,25274.32034028245,24269.76485678896,26335.909134448695,0
2018-07-17,25119.89,25323.184581893383,24146.413600461154,26482.730274648377,0
2018-07-18,25199.29,25341.846342604662,24270.291072432505,26430.026395188102,0
2018-07-19,25064.5,25358.8433881119,24196.9148711495,26442.336747046127,0
2018-07-20,25058.12,25395.799082031554,24342.970297347707,26503.182279315934,0
2018-07-23,25044.29,25447.253655961424,24354.826983985473,26476.294749005556,0
2018-07-24,25241.94,25479.56424618127,24396.047692407592,26606.975712843043,0
2018-07-25,25414.1,25483.01575997673,24431.955262724427,26642.69911937791,0
2018-07-26,25527.07,25486.499836810995,24414.92520863938,26611.101217147192,0
2018-07-27,25451.06,25511.927545008213,24443.333548424635,26672.22879595861,0
2018-07-30,25306.83,25542.49194822439,24363.494664768394,26585.864454173912,0
2018-07-31,25415.19,25572.619902485665,24469.351486422962,26562.493612613158,0
2018-08-01,25333.82,25576.200658706297,24500.643401817357,26700.832030775106,0
2018-08-02,25326.16,25581.973955183115,24477.205632036654,26619.59757963995,0
2018-08-03,25462.58,25611.637219118213,24510.252955796488,26756.811698903115,0
2018-08-06,25502.18,25663.697415366867,24585.717535206477,26798.263455558958,0
2018-08-07,25628.91,25702.774403284093,24626.36105598805,26752.853877342543,0
2018-08-08,25583.75,25715.56876253514,24595.58279969982,26783.557276368,0
2018-08-09,25509.23,25730.434336360315,24632.689610549267,26831.281211124286,0
2018-08-10,25313.14,25768.69152086724,24648.400770997257,26904.75211666008,0
2018-08-13,25187.7,25840.11420374961,24719.036072340557,26944.669471538935,0
2018-08-14,25299.92,25882.536634568172,24834.182819329824,26970.43009361748,0
2018-08-15,25162.41,25896.749050848415,24776.450080060793,26942.1193205964,0
2018-08-16,25558.73,25910.958976944632,24887.168949859606,26977.228387749445,0
2018-08-17,25669.32,25946.39631481541,24930.16576235753,27039.787555408788,0
2018-08-20,25758.69,25996.312672804932,24887.874432687582,27107.544079866304,0
2018-08-21,25822.29,26027.465525651398,24934.58846925514,27214.142705421826,0
2018-08-22,25733.6,26028.60352820143,24880.406599113358,27094.589254374594,0
2018-08-23,25656.98,26028.14334329326,24907.06652835386,27124.073867269704,0
2018-08-24,25790.35,26026.164357141202,24890.993699128285,27082.084955780363,0
2018-08-27,26049.64,25958.43536621716,24861.972451571437,27069.65901696689,0
2018-08-28,26064.02,25949.535715180937,24862.131029139953,27091.57190608111,0
2018-08-29,26124.57,25910.681283264377,24824.11316689254,27037.670818003146,0
2018-08-30,25986.92,25870.55936666711,24737.428005058977,26987.827664653374,0
2018-08-31,25964.82,25850.89140715116,24802.117954940084,26987.0604201685,0
2018-09-04,25952.48,25713.34685830546,24649.632295669315,26756.969147068186,0
2018-09-05,25974.99,25662.440813292847,24487.29753110343,26815.79990625719,0
2018-09-06,25995.87,25611.701086942394,24437.45552404498,26724.35520858964,0
2018-09-07,25916.54,25582.86932337157,24444.503155998704,26660.15128353849,0
2018-09-10,25857.07,25448.632273351774,24331.87685149588,26564.357852867084,0
2018-09-11,25971.06,25422.572614613284,24282.504441808225,26530.26453940795,0
2018-09-12,25998.92,25369.091259213623,24261.255251220377,26509.338324756696,0
2018-09-13,26145.99,25316.821635037013,24163.548397063685,26394.926022109394,0
2018-09-14,26154.67,25287.392966979467,24180.01205263325,26360.138464738295,0
2018-09-17,26062.12,25155.885276353627,24071.838639156038,26218.280692793007,0
2018-09-18,26246.96,25131.929660562124,23975.53929602106,26200.55870445094,1
2018-09-19,26405.76,25081.029550189098,24000.765158365597,26182.27529269113,1
2018-09-20,26656.98,25031.773789965755,23969.393988264426,26070.54384400136,1
2018-09-21,26743.5,25005.76740380218,23915.18665286012,26109.322122760776,1
2018-09-24,26562.05,24887.04113949874,23783.642901383053,25932.514498132172,1
2018-09-25,26492.21,24868.299499612767,23814.725917991487,26010.92194873963,1
2018-09-26,26385.28,24823.186979420232,23704.662799322356,25916.36570392599,1
2018-09-27,26439.93,24780.36751889421,23643.049973829762,25812.67538096919,1
2018-09-28,26458.31,24761.527223991277,23713.746739970586,25856.41423876281,1
2018-10-01,26651.21,24669.48862922327,23581.77847885118,25875.57571364783,1
2018-10-02,26773.94,24661.61250817343,23554.650107754493,25781.034469621165,1
2018-10-03,26828.39,24628.44067029079,23463.500181528943,25580.653154687323,1
2018-10-04,26627.48,24598.665914974466,23500.25259501977,25682.955712689498,1
2018-10-05,26447.05,24593.98222881428,23471.33067658016,25697.17362457009,1
2018-10-08,26486.78,24550.812122523654,23492.778836136436,25545.588331910214,1
2018-10-09,26430.57,24561.145421946,23449.52595348169,25641.919991349652,1
2018-10-10,25598.74,24546.976896974076,23455.276405643122,25632.072106529773,0
2018-10-11,25052.83,24536.867083056386,23419.116558252128,25573.14515306192,0
2018-10-12,25339.99,24552.359439943317,23397.909897024714,25618.868638396794,0
2018-10-15,25250.55,24571.078585267147,23523.753083222407,25694.972881043363,0
2018-10-16,25798.42,24601.888665072933,23540.067101493947,25789.20477635796,1
2018-10-17,25706.68,24607.813428900998,23546.005677949342,25721.456231779553,0
2018-10-18,25379.45,24617.236402753708,23482.66873030413,25834.319482930907,0
2018-10-19,25444.34,24651.53482157356,23488.750053048603,25741.59061447584,0
2018-10-22,25317.41,24720.88800975367,23599.892916835604,25870.689514113357,0
2018-10-23,25191.43,24756.708166711844,23672.992779795357,25843.8653515205,0
2018-10-24,24583.42,24766.360814050535,23734.776390085375,25925.053245489114,0
2018-10-25,24984.55,24778.18700621214,23610.378844915977,25854.110925588808,0
